,vault_name,vault_apy,vault_total_assets
2021-04-21 12:42:49.687757, DAI-BSGS,101.57%  ,12.82K
2021-04-21 12:42:49.728055, MAAPL-UST,101.99%  ,260.62K
2021-04-21 12:42:49.750725, MAMZN-UST,89.35%  ,356.56K
2021-04-21 12:42:49.773009, MGOOGL-UST,90.39%  ,379.56K
2021-04-21 12:42:49.795639, MTSLA-UST,74.84%  ,484.88K
2021-04-21 12:42:49.819153, MNFLX-UST,142.02%  ,385.20K
2021-04-21 12:42:49.841980, MTWTR-UST,120.58%  ,412.42K
2021-04-21 12:42:49.896861, CRV:LINK,20.16%  ,2.25M
2021-04-21 12:42:49.944388, TUSD,Inactive ,26.61K
2021-04-21 12:42:49.964003, CRV:AAVE,Inactive ,12.41K
2021-04-21 12:42:49.984450, RENBTC,Inactive ,142.18K
2021-04-21 12:42:50.004243, MIC-USDT,Inactive ,286.40K
2021-04-21 12:42:50.025189, MIS-USDT,Inactive ,71.06K
2021-04-21 12:42:50.046881, WBTC-TBTC,Inactive ,1.12K
2021-04-21 12:42:50.070403, ETH-DAI,Inactive ,15.43K
2021-04-21 12:42:50.095425, ETH-USDC,Inactive ,26.65K
2021-04-21 12:42:50.125714, ETH-USDT,Inactive ,8.75K
2021-04-21 12:42:50.161707, ETH-WBTC,Inactive ,34.30K
2021-04-21 12:42:50.187269, BAC,Inactive ,695.84
2021-04-21 12:42:50.209380, ESD,Inactive ,50.52K
2021-04-21 12:42:50.238661, DSD,Inactive ,4.04K
2021-04-21 12:42:50.259513, FARM/USDC,Inactive,85.07K
2021-04-22 17:59:55.292541, WETH,5.56%  ,17.43M
2021-04-22 17:59:55.313706, MEME20-ETH,452.73%  ,182.23K
2021-04-22 17:59:55.342504, GPUNKS20-ETH,586.17%  ,80.89K
2021-04-22 17:59:55.375880, ETH-MVI,47.69%  ,1.00M
2021-04-22 17:59:55.400808, KXUSD-DAI,203.02%  ,310.39K
2021-04-22 17:59:55.420504, FARM,40.66%,85.91M
2021-04-22 17:59:55.464252, USDC,20.04%  ,49.70M
2021-04-22 17:59:55.483873, USDT,19.29%  ,7.14M
2021-04-22 17:59:55.503813, DAI,17.58%  ,13.15M
2021-04-22 17:59:55.530529, CRV:HUSD,16.67%  ,1.79M
2021-04-22 17:59:55.551355, YCRV,24.57%  ,1.87M
2021-04-22 17:59:55.573991, 3CRV,11.80%  ,7.85M
2021-04-22 17:59:55.594554, CRV:COMPOUND,20.32%  ,3.62M
2021-04-22 17:59:55.614046, CRV:BUSD,17.87%  ,5.17M
2021-04-22 17:59:55.635340, CRV:USDN,40.60%  ,12.06M
2021-04-22 17:59:55.655165, CRV:EURS,80.79%  ,497.78K
2021-04-22 17:59:55.675782, CRV:GUSD,27.75%  ,229.66K
2021-04-22 17:59:55.695229, CRV:UST,30.53%  ,290.57K
2021-04-22 17:59:55.718138, CRV:USDP,46.26%  ,353.89K
2021-04-22 17:59:55.761960, SUSHI,13.81%  ,13.34M
2021-04-22 17:59:55.784575, ETH-DAI,70.14%  ,20.11M
2021-04-22 17:59:55.804550, ETH-USDC,60.74%  ,5.80M
2021-04-22 17:59:55.824428, ETH-USDT,69.32%  ,6.04M
2021-04-22 17:59:55.844438, ETH-WBTC,30.56%  ,11.70M
2021-04-22 17:59:55.882857, CRV:STETH,10.38%  ,45.86M
2021-04-22 17:59:55.921884, CRV:HBTC,7.01%  ,12.80M
2021-04-22 17:59:55.947745, CRV:OBTC,13.97%  ,11.03M
2021-04-22 17:59:55.969510, CRV:TBTC,3.07%  ,684.71K
2021-04-22 17:59:55.993265, CRV:RENWBTC,2.13%  ,127.77M
2021-04-22 17:59:56.015705, WBTC,1.63%  ,1.88M
2021-04-22 17:59:56.088516, MUSE-ETH,260.60%  ,717.51K
